history_id,order_id,status_id,status_date
1,1,1,2024-02-28 15:55:03
2,2,1,2025-06-09 18:21:34
3,3,1,2024-08-04 17:23:14
4,4,1,2023-12-28 13:39:36
5,5,1,2023-02-28 10:31:32
6,6,1,2024-10-17 12:58:13
7,7,1,2024-05-12 17:05:49
8,8,1,2025-06-07 07:28:58
9,9,1,2025-08-19 17:13:02
10,10,1,2022-11-04 14:25:49
11,11,1,2024-12-21 09:53:11
12,12,1,2024-08-04 23:34:06
13,13,1,2025-03-13 15:00:05
14,14,1,2025-02-05 09:13:48
15,15,1,2023-10-18 13:36:33
16,16,1,2023-11-23 08:58:44
17,17,1,2025-07-04 19:56:16
18,18,1,2025-04-21 00:53:19
19,19,1,2024-11-10 12:34:31
20,20,1,2024-04-24 10:07:54
21,21,1,2023-11-20 02:07:51
22,22,1,2023-09-03 01:55:51
23,23,1,2023-06-19 12:25:09
24,24,1,2024-06-14 15:27:12
25,25,1,2024-02-12 01:38:28
26,26,1,2023-10-12 12:40:41
27,27,1,2023-06-17 05:49:05
28,28,1,2023-05-15 13:25:02
29,29,1,2024-07-18 04:31:39
30,30,1,2023-09-27 08:21:16
31,31,1,2024-10-09 07:42:29
32,32,1,2024-09-24 18:49:41
33,33,1,2023-08-30 13:11:14
34,34,1,2024-08-21 18:45:52
35,35,1,2022-11-22 11:49:30
36,36,1,2022-11-08 04:58:00
37,37,1,2022-11-06 20:01:18
38,38,1,2023-02-21 04:48:20
39,39,1,2025-09-15 00:31:14
40,40,1,2023-11-06 18:36:26
41,41,1,2025-06-06 20:39:18
42,42,1,2024-04-02 16:17:23
43,43,1,2023-08-14 08:55:52
44,44,1,2025-02-15 19:58:35
45,45,1,2023-07-25 07:50:06
46,46,1,2025-03-19 01:56:34
47,47,1,2025-09-02 12:54:16
48,48,1,2025-07-16 05:50:44
49,49,1,2024-11-18 22:19:34
50,50,1,2025-08-20 02:21:09
51,51,1,2024-10-14 19:35:24
52,52,1,2022-12-06 02:02:42
53,53,1,2025-03-29 06:18:57
54,54,1,2022-11-24 23:37:20
55,55,1,2023-07-31 18:59:47
56,56,1,2024-08-11 09:32:08
57,57,1,2023-01-31 19:21:28
58,58,1,2023-10-05 16:19:28
59,59,1,2023-05-22 20:24:34
60,60,1,2025-03-16 20:20:52
61,61,1,2024-02-17 03:09:55
62,62,1,2023-04-03 11:56:57
63,63,1,2025-05-03 12:42:47
64,64,1,2024-10-31 16:13:05
65,65,1,2023-06-26 10:28:11
66,66,1,2023-05-05 22:15:29
67,67,1,2023-11-04 21:05:29
68,68,1,2025-08-18 06:48:51
69,69,1,2025-01-20 18:36:14
70,70,1,2025-02-01 23:54:56
71,71,1,2024-11-13 09:07:27
72,72,1,2023-05-22 01:50:00
73,73,1,2024-03-14 12:59:21
74,74,1,2023-01-07 20:43:42
75,75,1,2023-03-22 00:27:41
76,76,1,2025-09-07 08:44:08
77,77,1,2025-09-24 20:04:15
78,78,1,2025-06-07 10:34:37
79,79,1,2025-05-01 09:02:24
80,80,1,2023-02-02 00:46:28
81,81,1,2023-05-11 00:25:45
82,82,1,2024-08-30 04:08:16
83,83,1,2023-01-26 12:30:48
84,84,1,2023-01-11 16:37:32
85,85,1,2024-08-05 02:45:43
86,86,1,2024-09-18 08:09:47
87,87,1,2024-12-05 02:33:16
88,88,1,2024-11-18 08:52:05
89,89,1,2025-02-06 17:44:35
90,90,1,2023-09-08 13:18:46
91,91,1,2024-10-17 16:46:57
92,92,1,2025-08-17 12:51:28
93,93,1,2025-06-14 19:53:30
94,94,1,2023-08-25 02:10:29
95,95,1,2023-11-19 10:21:12
96,96,1,2023-08-17 21:46:18
97,97,1,2025-08-24 15:38:06
98,98,1,2024-05-07 07:13:32
99,99,1,2023-06-21 01:47:46
100,100,1,2024-06-06 05:07:56
101,101,1,2023-08-27 10:01:54
102,102,1,2024-03-15 19:55:52
103,103,1,2023-09-14 04:07:18
104,104,1,2024-03-03 07:08:32
105,105,1,2025-08-07 20:43:58
106,106,1,2024-08-03 03:49:47
107,107,1,2025-06-16 06:55:00
108,108,1,2024-01-27 14:18:52
109,109,1,2022-12-10 02:30:27
110,110,1,2022-11-21 22:49:42
111,111,1,2023-02-18 09:06:07
112,112,1,2025-03-11 01:16:34
113,113,1,2023-02-17 01:42:24
114,114,1,2025-05-23 16:38:27
115,115,1,2024-01-02 21:22:20
116,116,1,2025-03-28 16:11:47
117,117,1,2025-03-07 21:20:53
118,118,1,2025-01-01 10:13:17
119,119,1,2025-02-05 00:13:58
120,120,1,2025-07-04 20:17:00
121,121,1,2023-06-22 20:16:34
122,122,1,2023-01-29 12:17:04
123,123,1,2024-11-22 12:04:48
124,124,1,2023-12-21 08:11:18
125,125,1,2023-01-26 09:42:36
126,126,1,2023-04-10 21:35:16
127,127,1,2023-03-29 04:21:37
128,128,1,2023-10-03 08:18:11
